name,username,license,tags,freesound_id,path
Jazz the Dog Howl & Bark (019).wav,delphidebrain,https://creativecommons.org/licenses/by-nc/4.0/,"['Barking', 'Jazz', 'Barks', 'Dog', 'Howling', 'Wolf', 'Animal', 'Bark', 'delphidebrain', 'Howl']",236125,../data/raw/236125_180659-hq.ogg
Animal Dog Bark 08.wav,abhisheky948,http://creativecommons.org/publicdomain/zero/1.0/,"['Bark', 'Dog', 'Animal']",625497,../data/raw/625497_13366994-hq.ogg
single dog bark 2,crazymonke9,https://creativecommons.org/licenses/by/4.0/,"['growling', 'growl', 'barking', 'pet', 'dog', 'animal', 'bark']",418106,../data/raw/418106_6078577-hq.ogg
Dogs bark and howl,Weak_Hero,http://creativecommons.org/publicdomain/zero/1.0/,"['barking', 'whine', 'dog', 'bark', 'puppy', 'dogs', 'howl']",612856,../data/raw/612856_13194336-hq.ogg
Barking Inez 2,wateenfotos,http://creativecommons.org/publicdomain/zero/1.0/,"['dogs', 'dog', 'barking', 'woof', 'bark', 'inez']",749351,../data/raw/749351_16213215-hq.ogg
Small Dog Bark 02,noctaro,https://creativecommons.org/licenses/by/4.0/,"['pet', 'bark', 'barking', 'animal', 'dog', 'pincher', 'puppy', 'dogs']",242413,../data/raw/242413_4165591-hq.ogg
Some dogs barking close to a road in Anatolia (Turkey),felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"['a', 'Anatolia', 'Blume', 'barking', 'Turkey', 'Felix', 'Some', 'dog', 'VEA120824T09', 'close', 'bark', 'dogs', 'road']",166489,../data/raw/166489_1661766-hq.ogg
Barking Dog,SuperStudioBR,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'happy', 'loud', 'dog', 'barking']",180977,../data/raw/180977_3370987-hq.ogg
Dog bark 1,jorickhoofd,https://creativecommons.org/licenses/by/4.0/,"['average-size', 'bark', 'Dog']",160092,../data/raw/160092_2888453-hq.ogg
Dog Barking Distance - 1.wav,SpaceJoe,http://creativecommons.org/publicdomain/zero/1.0/,"['distance', 'barking', 'dog', 'woof', 'attack', 'background', 'bark']",485962,../data/raw/485962_6150892-hq.ogg
Dog Bark,aunrea,http://creativecommons.org/publicdomain/zero/1.0/,"['pet', 'bark', 'dog']",495658,../data/raw/495658_7932944-hq.ogg
004 - Dog Barking at Door.wav,Trashcan_Studios,https://creativecommons.org/licenses/by/4.0/,"['Foley', 'Barking', 'Dog', 'Canine', 'Ruff', 'Woof', 'Bark', 'Field-Recording']",580213,../data/raw/580213_12973965-hq.ogg
Angry big dog barking - Far [d15].wav,v23,http://creativecommons.org/publicdomain/zero/1.0/,"['barking', 'far', 'big', 'angry', 'dog', 'bark']",440865,../data/raw/440865_1751509-hq.ogg
11780 labrador dog barks.wav,Robinhood76,https://creativecommons.org/licenses/by-nc/4.0/,"['bark', 'dog', 'labrador', 'woof', 'barking', 'doggie']",700748,../data/raw/700748_321967-hq.ogg
Dog Barking,iainmccurdy,https://creativecommons.org/licenses/by/4.0/,"['barking', 'woof', 'barks', 'dog-barking', 'dog', 'bow-wow', 'bark', 'dogs']",640726,../data/raw/640726_3655844-hq.ogg
"Dog barking, 15m distance",AtoMediaDesign,https://creativecommons.org/licenses/by/4.0/,"['woof', 'bark', 'dogs', 'dog', 'barking']",649020,../data/raw/649020_3571340-hq.ogg
Dog Bark Staffordshire Bullterrier,Anton,https://creativecommons.org/licenses/by/4.0/,"['sennheiser', 'sound-devices', 'dog', 'm-s', 'staffordshire', 'mkh-60', 'mid-side', '722', 'mkh-30', 'ms', 'bark', 'bullterrier']",157322,../data/raw/157322_58-hq.ogg
Single Dog Bark,kwahmah_02,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'pet', 'dog', 'public-domain', 'woof', 'single', 'clean', 'bark', 'barking']",277058,../data/raw/277058_4486188-hq.ogg
dogs_barking_mono_4824.wav,Mystikuum,http://creativecommons.org/publicdomain/zero/1.0/,"['barking', 'dog', 'canine', 'woof', 'animal', 'bark', 'dogs']",400916,../data/raw/400916_1643758-hq.ogg
