freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength
,None_f0,../data/Target.mp3,25088,50176,0.0013323591984048182,-786.9823,162.60529,-5.5660515,9.682838,1.7902756,-11.477837,-0.16471863,-7.6575356,7.438652,-3.6363106,-14.4771,-19.772602,-7.062456,B,major,0.8137980699539185
,None_f1,../data/Target.mp3,50176,74752,0.0014341062245269616,-785.0894,171.15547,-13.80125,19.831203,5.5795784,-17.901764,-1.0096054,-2.6625366,8.186188,-1.7316818,-4.6985683,-18.959557,-5.528143,B,minor,0.8324958682060242
,None_f2,../data/Target.mp3,74752,99840,0.0013180092281224777,-786.34106,165.76859,-10.443653,16.17109,4.332176,-19.45509,-5.57868,-2.3033028,17.917934,-0.8652954,-4.1268845,-6.60392,6.7366905,B,minor,0.8244595527648926
,None_f3,../data/Target.mp3,99840,124928,0.0015129603597582603,-781.79407,168.11,-3.3686905,23.135181,13.4826355,-7.8656693,-6.522726,-0.08704758,6.614422,-5.1705017,-18.642138,-12.595329,-1.7105484,B,minor,0.8388952612876892
,None_f4,../data/Target.mp3,124928,149504,0.0013676782449086506,-795.29065,166.38895,-4.968132,20.524147,2.6821213,-10.715496,-3.8983612,-2.4994698,-3.009056,-0.26776123,-13.407059,-5.228981,7.9607277,B,minor,0.836821973323822
,None_f5,../data/Target.mp3,149504,174080,0.0019071771142383416,-788.21655,166.08257,-4.8037453,13.684525,0.8014679,-10.71888,1.9905739,1.9415016,3.8930244,4.8514023,-13.021576,-11.796013,-6.9795055,B,minor,0.743658721446991
,None_f6,../data/Target.mp3,174080,199168,0.0019362492828953024,-789.78595,179.694,-6.2237206,16.850906,6.781437,-18.493198,0.14509964,-12.01936,-1.4081345,-1.5337715,-14.758957,-14.790306,-9.732098,B,minor,0.7769162654876709
,None_f7,../data/Target.mp3,199168,223744,0.0019775813755889735,-795.64984,175.44315,-12.328991,18.276463,3.5339165,-21.689674,-6.555624,-14.992474,-6.4901257,-4.304718,-16.581696,-14.34774,-3.9324265,B,minor,0.8308817744255066
,None_f8,../data/Target.mp3,223744,248832,0.001714891012834043,-784.53375,171.59175,-6.637226,11.921494,-0.79624176,-16.758968,-0.58426285,-3.3051834,2.416088,5.7488976,-19.712025,-16.49553,-5.172207,B,minor,0.7685998678207397
,None_f9,../data/Target.mp3,248832,273408,0.0016547868338723977,-785.2765,164.82442,-22.299213,10.387772,8.556618,-10.976612,1.8649178,0.58509445,4.0761566,3.3768826,-9.817493,-10.491726,-2.7197495,B,minor,0.7236896753311157
